area,unidad_area,habitaciones,banos,antiguedad,unidad_antiguedad,garage,piso,ubicacion,tipo_vivienda,precio,moneda
322,m²,2,5,5,años,0,10,Surco,Casa,866051,Soles
250,m²,7,4,36,años,0,5,San Isidro,Departamento,747289,Soles
278,m²,6,5,22,años,0,18,Barranco,Departamento,823717,Soles
106,m²,4,5,3,años,0,17,Miraflores,Casa,521590,Soles
122,m²,3,2,22,años,2,10,Lima Centro,Casa,450064,Soles
322,m²,3,2,40,años,1,20,La Molina,Departamento,746536,Soles
126,m²,5,5,9,años,0,20,Barranco,Casa,617216,Soles
328,m²,1,1,5,años,0,19,San Isidro,Departamento,752863,Soles
332,m²,4,5,40,años,0,16,Barranco,Casa,909468,Soles
194,m²,4,2,25,años,1,15,Lima Centro,Departamento,512559,Soles
265,m²,4,4,29,años,0,11,La Molina,Departamento,678485,Soles
203,m²,6,3,25,años,0,12,La Molina,Departamento,604913,Soles
163,m²,4,1,17,años,1,8,Miraflores,Departamento,470716,Soles
188,m²,4,5,26,años,0,6,San Isidro,Casa,644440,Soles
121,m²,4,5,29,años,1,10,Surco,Departamento,446901,Soles
241,m²,5,4,15,años,0,19,San Isidro,Departamento,691312,Soles
184,m²,4,5,30,años,1,18,Lima Centro,Departamento,562841,Soles
108,m²,3,3,25,años,1,2,Surco,Departamento,392373,Soles
327,m²,2,3,35,años,1,3,Surco,Casa,833095,Soles
321,m²,3,5,39,años,0,5,Lima Centro,Casa,809457,Soles
213,m²,5,3,9,años,0,20,La Molina,Casa,705373,Soles
60,m²,1,1,8,años,2,11,Surco,Casa,309960,Soles
350,m²,5,2,20,años,2,11,Miraflores,Casa,976202,Soles
193,m²,5,3,32,años,2,18,Surco,Casa,683522,Soles
48,m²,3,3,7,años,1,19,San Isidro,Departamento,341319,Soles
282,m²,3,5,36,años,0,2,La Molina,Casa,747174,Soles
308,m²,6,5,24,años,0,8,Lima Centro,Departamento,799503,Soles
49,m²,4,3,26,años,0,14,Barranco,Departamento,294094,Soles
296,m²,7,5,30,años,2,2,Barranco,Departamento,882392,Soles
146,m²,5,3,30,años,2,13,San Isidro,Departamento,546324,Soles
312,m²,3,5,22,años,2,9,La Molina,Casa,865000,Soles
166,m²,3,5,19,años,0,10,San Isidro,Departamento,554235,Soles
290,m²,3,4,22,años,2,9,San Isidro,Departamento,787383,Soles
318,m²,4,4,22,años,0,10,Lima Centro,Casa,857801,Soles
80,m²,3,4,16,años,2,16,Miraflores,Departamento,428860,Soles
315,m²,3,5,17,años,0,4,La Molina,Departamento,765689,Soles
65,m²,6,5,14,años,2,8,Lima Centro,Departamento,428686,Soles
209,m²,6,4,6,años,2,5,Lima Centro,Departamento,676667,Soles
283,m²,4,2,18,años,1,10,Barranco,Departamento,756302,Soles
85,m²,6,5,14,años,2,2,Miraflores,Casa,595618,Soles
130,m²,1,4,31,años,0,10,Lima Centro,Departamento,336355,Soles
330,m²,5,1,21,años,1,15,Barranco,Casa,917078,Soles
108,m²,7,5,29,años,1,7,Lima Centro,Casa,545849,Soles
274,m²,6,3,11,años,0,11,San Isidro,Departamento,764301,Soles
247,m²,7,4,32,años,1,3,Surco,Departamento,727709,Soles
111,m²,4,3,15,años,0,9,Surco,Departamento,412277,Soles
176,m²,3,3,37,años,2,19,Lima Centro,Casa,584439,Soles
224,m²,6,2,3,años,2,4,Surco,Casa,749267,Soles
247,m²,6,5,19,años,2,4,Barranco,Casa,844087,Soles
153,m²,2,2,30,años,0,15,Barranco,Casa,479652,Soles
321,m²,4,5,13,años,0,20,Lima Centro,Casa,887814,Soles
225,m²,1,5,7,años,0,18,La Molina,Departamento,598532,Soles
314,m²,2,2,20,años,2,15,Lima Centro,Departamento,741183,Soles
338,m²,4,1,32,años,1,2,Surco,Departamento,783236,Soles
252,m²,4,5,3,años,2,15,Barranco,Casa,854400,Soles
51,m²,4,3,0,años,2,7,La Molina,Departamento,329368,Soles
256,m²,3,1,34,años,0,3,Surco,Departamento,574214,Soles
249,m²,2,2,26,años,1,13,Surco,Casa,668018,Soles
81,m²,6,5,8,años,2,12,Lima Centro,Departamento,476009,Soles
241,m²,5,2,14,años,0,1,San Isidro,Casa,752938,Soles
318,m²,4,5,24,años,0,8,Surco,Casa,860166,Soles
181,m²,2,1,2,años,2,14,La Molina,Departamento,493372,Soles
145,m²,1,1,38,años,0,15,La Molina,Departamento,321438,Soles
62,m²,4,4,14,años,2,7,Lima Centro,Departamento,360423,Soles
188,m²,2,5,20,años,2,20,Barranco,Casa,640925,Soles
194,m²,2,5,14,años,1,10,San Isidro,Departamento,596885,Soles
342,m²,6,2,40,años,2,14,La Molina,Casa,912872,Soles
216,m²,6,4,33,años,1,14,Surco,Departamento,662053,Soles
232,m²,2,5,30,años,0,8,San Isidro,Departamento,640807,Soles
277,m²,1,5,26,años,1,18,La Molina,Departamento,677255,Soles
164,m²,3,2,21,años,2,3,Surco,Casa,539459,Soles
314,m²,6,2,3,años,1,13,Barranco,Departamento,880253,Soles
77,m²,2,5,35,años,0,16,Miraflores,Casa,389269,Soles
47,m²,2,2,7,años,2,16,Miraflores,Departamento,290993,Soles
162,m²,5,3,18,años,1,15,La Molina,Casa,606212,Soles
173,m²,3,5,31,años,1,4,Barranco,Casa,627314,Soles
203,m²,2,3,20,años,1,2,La Molina,Departamento,550578,Soles
114,m²,1,3,35,años,2,19,Barranco,Casa,431745,Soles
118,m²,2,3,14,años,1,19,Miraflores,Casa,490886,Soles
212,m²,3,4,31,años,1,6,Barranco,Casa,642292,Soles
111,m²,6,5,31,años,0,18,Barranco,Departamento,496337,Soles
57,m²,7,1,3,años,0,14,Miraflores,Departamento,357654,Soles
117,m²,1,2,32,años,1,12,Lima Centro,Casa,391006,Soles
289,m²,1,1,34,años,2,14,Lima Centro,Departamento,623295,Soles
180,m²,5,3,1,años,2,14,Miraflores,Departamento,609312,Soles
308,m²,2,2,12,años,2,17,San Isidro,Casa,827119,Soles
243,m²,1,3,25,años,1,19,Miraflores,Departamento,591259,Soles
81,m²,6,1,5,años,1,13,Surco,Casa,451877,Soles
44,m²,6,2,5,años,1,14,Barranco,Casa,442483,Soles
88,m²,5,1,14,años,0,19,Surco,Casa,412851,Soles
78,m²,6,3,34,años,2,2,Miraflores,Casa,466226,Soles
146,m²,5,2,25,años,0,10,Miraflores,Departamento,488938,Soles
239,m²,6,5,21,años,1,5,Barranco,Departamento,746819,Soles
217,m²,1,1,27,años,0,3,San Isidro,Casa,584295,Soles
207,m²,1,3,28,años,1,8,San Isidro,Casa,602701,Soles
135,m²,6,5,24,años,0,20,San Isidro,Departamento,576934,Soles
77,m²,1,3,9,años,1,5,Barranco,Casa,366553,Soles
224,m²,1,1,0,años,1,15,San Isidro,Casa,614899,Soles
107,m²,1,2,27,años,1,18,La Molina,Casa,367369,Soles
53,m²,1,3,35,años,0,20,La Molina,Casa,310004,Soles
237,m²,1,3,26,años,1,3,Barranco,Departamento,579283,Soles
306,m²,2,4,10,años,0,9,San Isidro,Casa,830317,Soles
114,m²,1,2,27,años,1,14,San Isidro,Casa,446292,Soles
79,m²,3,3,15,años,2,16,La Molina,Departamento,371006,Soles
94,m²,2,3,0,años,1,11,La Molina,Casa,459695,Soles
208,m²,4,3,27,años,2,20,Miraflores,Casa,693015,Soles
348,m²,6,2,30,años,1,6,Surco,Casa,930300,Soles
291,m²,5,2,20,años,1,9,Surco,Casa,805463,Soles
328,m²,2,5,34,años,0,18,Lima Centro,Casa,835423,Soles
147,m²,4,3,4,años,1,16,Miraflores,Casa,582461,Soles
169,m²,6,2,27,años,1,3,Surco,Casa,628357,Soles
245,m²,5,5,26,años,2,2,San Isidro,Departamento,733567,Soles
167,m²,6,3,10,años,2,20,Lima Centro,Casa,682927,Soles
209,m²,7,4,6,años,0,4,San Isidro,Departamento,712667,Soles
305,m²,5,5,36,años,0,15,San Isidro,Casa,893147,Soles
341,m²,6,5,9,años,1,1,Surco,Departamento,923161,Soles
252,m²,1,1,9,años,1,10,San Isidro,Casa,695197,Soles
145,m²,5,4,22,años,1,4,Surco,Casa,585700,Soles
74,m²,3,1,7,años,0,11,Barranco,Departamento,315977,Soles
124,m²,6,2,33,años,0,18,Miraflores,Casa,540690,Soles
258,m²,4,2,25,años,2,6,Miraflores,Casa,761124,Soles
54,m²,6,5,12,años,1,19,Surco,Casa,468291,Soles
149,m²,2,3,4,años,2,4,La Molina,Departamento,469572,Soles
206,m²,2,4,7,años,1,16,La Molina,Casa,661323,Soles
238,m²,5,4,37,años,0,12,San Isidro,Casa,761059,Soles
128,m²,7,3,39,años,2,3,Barranco,Departamento,520524,Soles
100,m²,2,3,7,años,0,12,Barranco,Departamento,363677,Soles
238,m²,4,5,8,años,2,13,Surco,Departamento,731094,Soles
315,m²,6,2,35,años,0,16,San Isidro,Departamento,796061,Soles
201,m²,7,4,39,años,0,12,Lima Centro,Casa,665547,Soles
139,m²,7,4,35,años,2,16,Surco,Casa,645238,Soles
267,m²,4,2,5,años,2,1,Miraflores,Casa,773542,Soles
180,m²,2,5,18,años,0,15,La Molina,Casa,595426,Soles
301,m²,1,5,7,años,1,18,San Isidro,Departamento,792607,Soles
265,m²,5,2,27,años,0,8,San Isidro,Departamento,701473,Soles
174,m²,3,1,28,años,0,8,Miraflores,Casa,555429,Soles
259,m²,2,5,8,años,0,7,Lima Centro,Casa,722083,Soles
183,m²,5,5,10,años,1,10,San Isidro,Casa,746630,Soles
303,m²,6,1,8,años,1,2,San Isidro,Departamento,831368,Soles
107,m²,2,2,20,años,0,13,Surco,Departamento,342842,Soles
177,m²,6,4,24,años,1,3,Barranco,Departamento,605601,Soles
303,m²,6,3,23,años,1,16,San Isidro,Departamento,871544,Soles
87,m²,6,4,40,años,2,12,Lima Centro,Casa,479475,Soles
259,m²,7,2,31,años,1,11,San Isidro,Casa,834668,Soles
335,m²,2,5,31,años,1,2,Lima Centro,Departamento,783437,Soles
275,m²,1,1,10,años,1,15,Lima Centro,Casa,656259,Soles
107,m²,6,3,10,años,1,3,Barranco,Casa,538409,Soles
82,m²,3,2,3,años,1,10,Barranco,Departamento,356130,Soles
86,m²,6,1,0,años,0,16,Lima Centro,Departamento,389507,Soles
155,m²,5,4,0,años,0,11,Lima Centro,Casa,615284,Soles
107,m²,4,1,14,años,1,3,Barranco,Departamento,367963,Soles
200,m²,3,3,8,años,1,5,Barranco,Departamento,552883,Soles
311,m²,5,1,39,años,2,6,Surco,Casa,858145,Soles
149,m²,6,2,26,años,2,15,Miraflores,Departamento,583759,Soles
91,m²,2,1,37,años,2,13,San Isidro,Casa,388411,Soles
111,m²,2,3,5,años,0,18,La Molina,Casa,468250,Soles
53,m²,7,3,13,años,2,20,La Molina,Departamento,448810,Soles
240,m²,3,1,15,años,1,13,Lima Centro,Departamento,585140,Soles
344,m²,1,5,0,años,1,11,Miraflores,Casa,939414,Soles
331,m²,4,3,34,años,2,6,Surco,Departamento,794893,Soles
340,m²,1,1,16,años,0,2,Lima Centro,Casa,755601,Soles
186,m²,6,5,26,años,1,13,Lima Centro,Departamento,607184,Soles
82,m²,3,1,32,años,0,5,La Molina,Casa,336806,Soles
340,m²,6,1,19,años,2,14,Barranco,Departamento,857194,Soles
165,m²,1,4,7,años,1,20,La Molina,Departamento,476869,Soles
129,m²,1,1,8,años,2,1,Miraflores,Casa,449121,Soles
307,m²,5,3,10,años,1,5,Barranco,Casa,906633,Soles
100,m²,7,1,21,años,1,9,La Molina,Departamento,427232,Soles
335,m²,6,1,31,años,1,17,San Isidro,Departamento,860142,Soles
330,m²,2,3,10,años,1,4,La Molina,Departamento,759168,Soles
300,m²,1,1,0,años,0,2,Surco,Casa,719698,Soles
116,m²,2,1,35,años,2,14,Miraflores,Casa,422270,Soles
253,m²,6,3,17,años,0,19,San Isidro,Departamento,747101,Soles
66,m²,2,2,33,años,0,13,Lima Centro,Casa,317356,Soles
